1 2.901862 0.038260
0 6.169201 4.856359
1 1.436757 0.011081
4 0.706069 1.726984
0 7.861776 7.038403
0 2.862108 1.124892
7 2.301120 0.683216
3 3.309572 1.798758
5 3.667993 1.228005
3 4.507527 1.712667
8 6.655402 1.843204
9 3.140286 0.714480
1 1.086646 0.015805
3 5.391759 1.743535
3 4.883689 2.862099
1 0.865601 0.004503
2 6.191549 1.808086
0 5.705939 1.653154
7 1.503734 0.256555
5 6.368390 3.110928
8 3.203655 0.580274
6 3.784144 1.002644
2 4.876309 1.164990
0 5.094090 5.931496
2 3.799303 1.327461
3 4.411688 1.524519
6 3.090805 0.890585
9 2.865338 0.395589
9 2.831255 0.714154
7 3.840147 1.567002
8 4.381477 0.584293
9 2.060707 0.691877
4 1.482728 2.202522
9 2.508022 0.991643
2 1.536727 1.848297
1 1.379177 0.028772
3 3.848673 0.754928
1 1.626089 0.015102
1 1.729898 0.017165
4 1.725900 0.983049
9 2.634000 0.530310
1 1.781039 0.030853
4 1.700989 2.251036
4 2.811137 2.013973
2 0.767252 2.361390
6 3.112223 0.863643
3 2.649591 0.617152
7 3.193664 0.623117
7 2.281419 0.329971
4 2.911150 1.875594
7 1.443507 0.254824
5 5.754906 2.699819
1 1.509713 0.014177
9 3.236018 0.786307
0 5.960532 3.272188
2 0.281453 0.579241
2 1.997598 1.267051
3 4.939774 1.923056
9 2.485712 0.565836
1 1.249349 0.019376
1 2.984833 0.326977
1 0.029032 2.742611
5 3.351432 2.523595
0 2.187146 5.357817
6 3.514610 2.032841
3 3.016000 0.401583
4 3.331311 1.137384
8 5.810330 1.360391
1 2.057219 0.035272
0 1.924297 0.579128
3 5.026626 1.006275
9 1.284578 0.271600
6 3.131955 4.490328
2 9.162948 3.421614
6 3.311610 0.407359
4 0.465747 2.260732
7 2.684568 0.732075
1 0.886083 0.010913
4 2.548829 1.480654
1 1.944886 0.036400
5 1.490109 0.330959
4 1.427150 2.597623
8 3.356644 0.606148
9 2.389278 0.504184
2 3.284256 0.535918
9 1.488952 0.183781
9 1.853419 0.881947
8 1.585438 0.611972
9 1.933009 0.784227
6 0.928422 2.990671
3 2.669021 0.833891
6 3.546538 1.485268
4 0.904272 0.369152
6 1.570729 0.277427
2 1.240777 2.707238
9 3.552662 1.009145
1 1.510170 0.012556
2 5.843445 2.839038
0 1.457851 5.617071
5 8.061682 3.297430
